MessageLength;TagBits;Precompute;Parallel;RandomKeys;Encoding;TimePrecompute;Tag;TimeUs;CyclesPerByte
16;128;0;0;0;0;0;874e0b88199becd8c36c35ca0c430caa;0.00;130.41
16;128;1;0;0;0;0;874e0b88199becd8c36c35ca0c430caa;0.00;68.66
16;128;0;0;0;0;0;822933a50c545c7aeb0ecb22cf124eac;0.00;101.55
16;128;1;0;0;0;0;822933a50c545c7aeb0ecb22cf124eac;0.00;68.91
16;96;0;0;0;0;0;874e0b88199becd8c36c35ca;0.00;99.89
16;96;1;0;0;0;0;874e0b88199becd8c36c35ca;0.00;67.68
16;96;0;0;0;0;0;0e432ad2eac6ab49ec90d0a7;0.00;99.72
16;96;1;0;0;0;0;0e432ad2eac6ab49ec90d0a7;0.00;68.57
16;64;0;0;0;0;0;874e0b88199becd8;0.00;101.49
16;64;1;0;0;0;0;874e0b88199becd8;0.00;69.68
16;64;0;0;0;0;0;36e5a449010f1942;0.00;99.75
16;64;1;0;0;0;0;36e5a449010f1942;0.00;67.67
16;32;0;0;0;0;0;874e0b88;0.00;101.80
16;32;1;0;0;0;0;874e0b88;0.00;68.60
16;32;0;0;0;0;0;17a7cf38;0.00;100.65
16;32;1;0;0;0;0;17a7cf38;0.00;67.78
128;128;0;0;0;0;0;29c1978d47d56e3173ab9a1f44b9c27d;0.00;14.36
128;128;1;0;0;0;0;29c1978d47d56e3173ab9a1f44b9c27d;0.00;9.25
128;128;0;0;0;0;0;8f23959af5ffdb3baad8218bc4e7a8d6;0.00;14.28
128;128;1;0;0;0;0;8f23959af5ffdb3baad8218bc4e7a8d6;0.00;9.89
128;96;0;0;0;0;0;29c1978d47d56e3173ab9a1f;0.00;14.37
128;96;1;0;0;0;0;29c1978d47d56e3173ab9a1f;0.00;9.24
128;96;0;0;0;0;0;9a4cdc5fc090a5b86a8054d0;0.00;14.18
128;96;1;0;0;0;0;9a4cdc5fc090a5b86a8054d0;0.00;9.19
128;64;0;0;0;0;0;29c1978d47d56e31;0.00;14.24
128;64;1;0;0;0;0;29c1978d47d56e31;0.00;9.47
128;64;0;0;0;0;0;9655b48a8d7c6a7c;0.00;14.39
128;64;1;0;0;0;0;9655b48a8d7c6a7c;0.00;9.46
128;32;0;0;0;0;0;29c1978d;0.00;14.67
128;32;1;0;0;0;0;29c1978d;0.00;9.39
128;32;0;0;0;0;0;fb90d5d2;0.00;14.33
128;32;1;0;0;0;0;fb90d5d2;0.00;9.34
1024;128;0;0;0;0;0;31ac4559846a4512a9f16c614105aae5;0.00;3.32
1024;128;1;0;0;0;0;31ac4559846a4512a9f16c614105aae5;0.00;1.74
1024;128;0;0;0;0;0;18164d485891383e6ac8800a3fa976c7;0.00;3.41
1024;128;1;0;0;0;0;18164d485891383e6ac8800a3fa976c7;0.00;1.75
1024;96;0;0;0;0;0;31ac4559846a4512a9f16c61;0.00;3.35
1024;96;1;0;0;0;0;31ac4559846a4512a9f16c61;0.00;1.79
1024;96;0;0;0;0;0;5306a290a56fd9ae66a4abcd;0.00;3.32
1024;96;1;0;0;0;0;5306a290a56fd9ae66a4abcd;0.00;1.76
1024;64;0;0;0;0;0;31ac4559846a4512;0.00;3.38
1024;64;1;0;0;0;0;31ac4559846a4512;0.00;1.74
1024;64;0;0;0;0;0;abd4e97d91f5a505;0.00;3.40
1024;64;1;0;0;0;0;abd4e97d91f5a505;0.00;1.73
1024;32;0;0;0;0;0;31ac4559;0.00;3.47
1024;32;1;0;0;0;0;31ac4559;0.00;1.77
1024;32;0;0;0;0;0;54ad0d3f;0.00;3.41
1024;32;1;0;0;0;0;54ad0d3f;0.00;1.75
10000;128;0;0;0;0;0;9be638f10294687c1f84065eb2e6cff8;0.01;1.93
10000;128;1;0;0;0;0;9be638f10294687c1f84065eb2e6cff8;0.00;0.79
10000;128;0;0;0;0;0;c2cfea1d4a99ae927fdef6108351f458;0.01;1.93
10000;128;1;0;0;0;0;c2cfea1d4a99ae927fdef6108351f458;0.00;0.78
10000;96;0;0;0;0;0;9be638f10294687c1f84065e;0.01;1.93
10000;96;1;0;0;0;0;9be638f10294687c1f84065e;0.00;0.79
10000;96;0;0;0;0;0;31df722b8f5baa50d007c34d;0.01;1.94
10000;96;1;0;0;0;0;31df722b8f5baa50d007c34d;0.00;0.79
10000;64;0;0;0;0;0;9be638f10294687c;0.01;1.95
10000;64;1;0;0;0;0;9be638f10294687c;0.00;0.75
10000;64;0;0;0;0;0;7dcfaa12ce8b0d17;0.01;1.93
10000;64;1;0;0;0;0;7dcfaa12ce8b0d17;0.00;0.77
10000;32;0;0;0;0;0;9be638f1;0.01;1.93
10000;32;1;0;0;0;0;9be638f1;0.00;0.78
10000;32;0;0;0;0;0;5f576407;0.01;1.92
10000;32;1;0;0;0;0;5f576407;0.00;0.78
100000;128;0;0;0;0;0;a4366fbb9a1e5f85410ce53381502d75;0.06;1.78
100000;128;1;0;0;0;0;a4366fbb9a1e5f85410ce53381502d75;0.02;0.70
100000;128;0;0;0;0;0;737c59f01c1756485f0d9afbbeb13599;0.06;1.80
100000;128;1;0;0;0;0;737c59f01c1756485f0d9afbbeb13599;0.02;0.70
100000;96;0;0;0;0;0;a4366fbb9a1e5f85410ce533;0.06;1.80
100000;96;1;0;0;0;0;a4366fbb9a1e5f85410ce533;0.02;0.70
100000;96;0;0;0;0;0;b2b94ab64a7bdccdd9a37f3f;0.06;1.80
100000;96;1;0;0;0;0;b2b94ab64a7bdccdd9a37f3f;0.02;0.71
100000;64;0;0;0;0;0;a4366fbb9a1e5f85;0.06;1.80
100000;64;1;0;0;0;0;a4366fbb9a1e5f85;0.02;0.70
100000;64;0;0;0;0;0;91b9a7c87c5e209c;0.06;1.80
100000;64;1;0;0;0;0;91b9a7c87c5e209c;0.02;0.70
100000;32;0;0;0;0;0;a4366fbb;0.06;1.80
100000;32;1;0;0;0;0;a4366fbb;0.02;0.70
100000;32;0;0;0;0;0;92a124b2;0.06;1.80
100000;32;1;0;0;0;0;92a124b2;0.02;0.71
